date,inflation_rate,unemployment_rate,federal_funds_rate,market_yield_10_rate,ppi_rate,gdp_pc1,gdp_invest_pc1,sp500_yoy,consumer_senti_pc1,means_0,means_1,means_2,means_3,means_4,means_5,means_6,means_7,means_8,hidden_states
1971-04-01,4.15584,5.9,4.16,5.83,2.98913,3.10644,10.4998,0.1989156497399458,6.36605,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1971-05-01,4.40415,5.9,4.63,6.39,3.53261,3.10644,10.4998,0.3363212034069776,6.36605,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1971-06-01,4.38144,5.9,4.91,6.52,3.52304,3.10644,10.4998,0.318623555623069,5.79897,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1971-07-01,4.37018,6.0,5.31,6.73,3.2345,3.00528,10.04961,0.3071512989274123,5.79897,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1971-08-01,4.35897,6.1,5.57,6.58,4.33604,3.00528,10.04961,0.2478304461176177,5.79897,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1971-09-01,4.08163,6.0,5.55,6.14,3.2345,3.00528,10.04961,0.2066479557699503,13.25967,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1971-10-01,3.80711,5.8,5.2,5.93,3.2345,4.36555,13.09047,0.1531801482198045,13.25967,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1971-11-01,3.53535,6.0,4.91,5.81,3.2345,4.36555,13.09047,0.1007049944088676,13.25967,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1971-12-01,3.26633,6.0,4.14,5.93,4.04313,4.36555,13.09047,0.1012336069550057,18.82202,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1972-01-01,3.25815,5.8,3.51,5.95,4.02145,3.47251,7.95628,0.1048979939808059,18.82202,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
